index,Name,PlayerID,ERA,IP,CSW%
534,Albert Pujols,405395,36.00,1.0,0.0
535,A. J. Puk,640462,2.53,32.0,25.0
536,Cal Quantrill,615698,3.72,84.2,24.7
537,Jose Quijada,650671,2.38,11.1,33.3
538,Jose Quintana,500779,3.43,76.0,27.4
539,Tanner Rainey,663432,2.88,25.0,24.7
540,Brooks Raley,548384,2.22,24.1,30.7
541,Erasmo Ramirez,541640,4.28,33.2,25.3
542,Noe Ramirez,598287,4.64,33.0,35.6
543,Yohan Ramirez,670990,6.97,10.1,33.0
544,Drew Rasmussen,656876,3.41,58.0,27.1
545,Robbie Ray,592662,3.78,97.2,24.2
547,Jake Reed,596082,16.62,4.1,27.8
548,Sean Reid-Foley,656887,5.40,10.0,25.0
549,Denyi Reyes,660593,2.35,7.2,21.6
550,Matt Reynolds,519186,6.75,1.1,0.0
551,Garrett Richards,572070,3.42,26.1,27.0
552,Trevor Richards,670950,6.59,28.2,20.7
553,Ethan Roberts,681799,8.22,7.2,20.8
554,David Robertson,502085,1.86,29.0,32.4
555,Hansel Robles,570663,4.70,23.0,29.0
556,Carlos Rodon,607074,2.62,86.0,30.0
557,Dereck Rodriguez,605446,6.75,4.0,25.5
558,Eduardo Rodriguez,593958,4.38,39.0,24.9
559,Elvin Rodriguez,660730,11.51,20.1,24.9
560,Joely Rodriguez,570257,4.76,22.2,38.9
561,Josh Rogers,642028,5.13,26.1,24.8
562,Taylor Rogers,573124,2.84,31.2,35.2
563,Trevor Rogers,669432,5.86,63.0,26.7
564,Tyler Rogers,643511,4.63,35.0,31.3
565,Jordan Romano,605447,2.89,28.0,25.8
